code,nse,kge,cp,ct,kexc,llr,WI,RC_obs,RC_sim
A0220200,0.38,0.47,594.8544,48.163826,-2.4275956,35.14344,1.3402586,0.1997700184583664,0.1467810273170471
E3346020,0.72,0.8,323.2147521972656,37.88701629638672,-0.4653420448303222,100.4276885986328,1.158638834953308,0.3028733730316162,0.270066499710083
N0113010,0.87,0.81,200.00001525878903,24.157827377319336,-0.0400106683373451,132.87889099121094,1.1394227743148804,0.3667897582054138,0.4096393883228302
O3314010,0.83,0.87,419.1870422363281,461.5582580566406,3.036736249923706,39.22986602783203,2.979110717773437,0.9512277841567992,0.9560123085975648
J5704810,0.92,0.88,180.9674224853516,920.2163696289062,0.8353047966957092,132.87889099121094,1.5837671756744385,0.5812005996704102,0.5708408951759338
G4002020,-0.44,0.39,411.5685729980469,3999.99853515625,-20.03157997131348,109.79438018798828,1.4136724472045898,0.3118374049663543,0.2350823134183883
K2724210,0.46,0.5,154.97975158691406,325.1383361816406,-7.944159507751465,22.891069412231445,1.0946476459503174,0.1606862097978592,0.1413673907518386
J7803020,0.87,0.89,210.2542724609375,74.78427124023438,0.0800853595137596,200.00001525878903,1.0019651651382446,0.3510766327381134,0.3691026866436004
M1354020,0.82,0.76,206.0909576416016,52.69963073730469,-1.3692870140075684,112.10523986816406,0.96754789352417,0.2336321622133255,0.1896379739046096
I3712010,0.93,0.91,101.32342529296876,211.5810394287109,-0.1202882081270217,131.55670166015625,1.3865187168121338,0.4650478065013885,0.4999711215496063
L0914020,0.92,0.91,320.28289794921875,119.5477294921875,-1.173947811126709,58.518341064453125,1.3444973230361938,0.3217587471008301,0.3256036341190338
A9832010,0.9,0.88,158.1170196533203,124.73225402832033,-0.2667707800865173,196.0397491455078,1.223310470581055,0.3785949051380157,0.3987551033496856
H7843010,-6.61,-0.77,675.9544677734375,2447.8203125,-3.670358657836914,175.00106811523438,1.113985300064087,0.2856087684631347,0.1881190836429596
H5142610,0.88,0.86,132.73001098632812,168.1083221435547,0.4433741867542267,57.365234375,1.4486595392227173,0.5232519507408142,0.5719715356826782
H3403102,0.58,0.72,779.2384643554688,63.72702407836914,0.1606835424900055,104.5262680053711,1.0048763751983645,0.2983229160308838,0.2515254616737366
Q0115710,0.7,0.78,946.9065551757812,193.0588836669922,1.4755868911743164,53.33304214477539,1.862191200256348,0.7552842497825623,0.6909379363059998
P3264310,0.87,0.81,242.90432739257807,53.93134689331055,-0.1119116768240928,52.25528335571289,1.3618268966674805,0.3757414221763611,0.4248026907444
U3004010,0.62,0.69,232.6968688964844,112.39234161376952,-1.176774024963379,81.06959533691406,1.186328649520874,0.3745738863945007,0.2840606272220611
Y0115410,0.36,0.44,425.4124145507813,273.0483093261719,-1.0341241359710691,12.3549222946167,1.163430094718933,0.3578980565071106,0.3469773232936859
S4214010,-0.51,0.42,1609.859375,773.0073852539062,-1.931156873703003,124.98624420166016,1.4755897521972656,0.4151070415973663,0.3041801452636719
U0525010,-0.27,-0.54,1.0,1.0,4.999999046325684,166.20828247070312,1.426918625831604,545.7664794921875,94.77278900146484
V1325020,0.86,0.9,278.1937561035156,93.18701171875,-2.2743422985076904,30.24824333190918,2.133685111999512,0.3955172896385193,0.3728046417236328
V4145210,0.84,0.87,138.51535034179688,546.21142578125,0.4739412367343902,27.23979377746582,2.1756374835968018,0.7283205389976501,0.6798892617225647
O8255010,0.89,0.87,163.74618530273438,104.02263641357422,-0.2629392445087433,83.88430786132812,1.181241750717163,0.3482747673988342,0.3759815394878387
X2305010,0.9,0.91,204.040283203125,139.01870727539062,-3.780290126800537,29.649290084838867,1.6955450773239136,0.3382222652435303,0.329320341348648
Y3315080,0.56,0.54,4.370876789093018,263.9468994140625,-18.912561416625977,36.942569732666016,0.853162944316864,0.3308500945568084,0.2356499880552292
Y4414030,0.75,0.74,594.7766723632812,95.11848449707033,-2.279138803482056,35.63821029663086,0.9754441380500792,0.2173950225114822,0.1799172312021255
Y1355210,0.79,0.8,322.6143798828125,307.0780029296875,-0.9310688972473145,32.28323745727539,1.5355515480041504,0.4330422282218933,0.4327822923660278
O9134010,0.26,0.53,1035.853759765625,126.8464813232422,-1.9448648691177368,51.018157958984375,1.0360184907913208,0.1637550741434097,0.1309625506401062
Y9414020,0.79,0.61,92.60262298583984,297.26031494140625,-8.79015827178955,24.518749237060547,2.450105905532837,0.6973057985305786,0.4349246323108673
